comment,Subject,"Structure, Orient",Locus,Scope,Tone
repetitive,2. Writing Quality,Copy Correction,,,
"Report means ± standard deviations, as I showed in class. Two sig figs is enough. ",3. Technical and Scientific,Copy Correction,,,
"This is a good connection.Your introduction is sparse and doesn’t set up your research question very well. You don’t mention anything about resource allocation or phenotypic plasticity, for example. You should fill this out more by explaining these concepts, and then talking about why you think salinity in particular will affect R:S ratios. ",4. Logic and Thinking,Specific info,,,
this should go in methods. ,2. Writing Quality,Specific info,,,
Be careful of the wording since this ends up meaning you had 104mL total rather than 100mL total. It would be 4mL diluted in water for 100mL total volume.,3. Technical and Scientific,Copy Correction,Explanatory,Within Report,Neutral
Missing outside sources,1. Basic Criteria,General info,Corrective,Within Report,Neutral
These should also have error bars as they are averages,3. Technical and Scientific,Specific info,,,
Reference your figure as (Figure 1) or “Figure 1 shows that…”,3. Technical and Scientific,Copy Correction,Directive,Within Report,Neutral
Citation format is [last name : year],3. Technical and Scientific,Copy Correction,Corrective,Within Report,FLAG
"Don’t make your title a question, briefly tell me how JH affects growth of caterpillars. Also, spell out Juvenile Hormone here",2. Writing Quality,Copy Correction,,,
Explain this concept a little more,8. No basis to judge,No basis to judge,,,
Generally methods sections are written in past tense. Just as a FYI. ,2. Writing Quality,General info,,,
"Hi Zoe, So you have most of the necessary components for this lab report, but it is not always written in the most concise manner. Be sure to take my comments into account for the revision and you should be able to improve your grade - C",12. Narrative Comments,General info,,,
"I did not mention this in class, but you shouldn’t have long quotes like this in your report. Summarize their findings in your own words",2. Writing Quality,General info,Directive,Within Report,Neutral
"If your p-value is above 0.05, your results are not statistical significant, so you got that part right. However, this means that you fail to reject the null hypothesis, and can’t accept your alternative. So your results are not significant, and you can’t talk about your weight differences as though they are. ",3. Technical and Scientific,Specific info,,,
Nope! For reasons discussed earlier,5. Praise or Concern,No basis to judge,,,
Species names should be lowercase,Scientific Name,Copy Correction,,,
Start your intro with your study organism and give some background on its life cycle. ,3. Technical and Scientific,Specific info,,,
"This abstract needs a little bit of work. Start with a couple sentences of background (what Manduca are, how JH normally affects the life cycle), hypothesis, one sentence for methods, two for results, and one quick discussion. ",2. Writing Quality,Specific info,,,
This should only be in your methods section. You can write that the weights will be measured but that’s it,3. Technical and Scientific,Specific info,,,
What does this mean? You mean precor is a JH analogue?,3. Technical and Scientific,Specific info,,,
You don’t need a citation in the middle of the sentence,3. Technical and Scientific,Copy Correction,,,
You don’t need a table and a graph when they both state the same information. Just use the graph,3. Technical and Scientific,Specific info,,,
You don’t need to mention the title of the paper,3. Technical and Scientific,Copy Correction,,,
"Your x-axis needs a label (with units), and shouldn’t say “Chart Title” at the top. Also, reiterate your statistical results in your figure caption. ",3. Technical and Scientific,Specific info,,,
…and take their weight measurements?,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
"Also, which statistical test(s) did you run?",3. Technical and Scientific,Specific info,Directive,Specific Location,
"Again, this is too short. Your introduction should discuss exactly what 20E does in the caterpillar during molting/development and why blocking it would have this effect. ",4. Logic and Thinking,Specific info,,,
Don’t include raw data,3. Technical and Scientific,General info,,,
"If 2 out of your 8 caterpillars were outliers, you may just not have very conclusive data. You need to make a very clear case for why they were outliers if you want to toss out ¼ of your data points. ",3. Technical and Scientific,Specific info,,,
Make it clear that the error bars represent standard deviation. ,3. Technical and Scientific,Copy Correction,,,
"Also, now that you can see how SAWHET formats this section, you might want to consider writing it as a paragraph, rather than a numbered list with subsections.  ",2. Writing Quality,General info,,,
No need to list materials separately. You can just mention them as you use them in the procedure. ,3. Technical and Scientific,General info,,,
"This abstract is too short. If you need help on how to write an abstract or what to include, please come email or talk to me. ",2. Writing Quality,General info,,,
"Also, you should have a legend explaining what the colors mean on the figure or at least explain them in the caption. ",3. Technical and Scientific,Specific info,,,
